,inflow,outflow,storage,evap
1995-10-01,3.12198346582,9.36396692638,458.6,0.0912396692678
1995-10-02,3.27669420936,10.0085950245,451.76,0.0892561981968
1995-10-03,3.24297520115,10.0105784955,444.854,0.136859503902
1995-10-04,2.84826445801,10.052231388,437.505,0.146776859257
1995-10-05,2.64991735091,10.0641322145,429.947,0.144793388186
1995-10-06,1.89223140177,8.19966940768,423.55,0.0912396692678
1995-10-07,2.29884297134,6.13487602273,419.623,0.0892561981968
1995-10-08,2.34842974811,4.59371900053,417.287,0.0892561981968
1995-10-09,4.04231404278,3.25884296972,417.995,0.0753719006995
1995-10-10,4.37157024057,2.65190082198,419.623,0.0892561981968
1995-10-11,4.96661156188,5.58942147819,418.915,0.0852892560547
1995-10-12,4.2049586706,5.26214875147,417.782,0.0753719006995
1995-10-13,4.07999999313,5.26809916468,416.508,0.0852892560547
1995-10-14,4.07404957992,5.06578511544,415.446,0.0714049585574
1995-10-15,3.27471073829,5.37123966038,413.255,0.0932231403389
1995-10-16,3.54842974609,5.3077685861,411.435,0.0614876032022
1995-10-17,4.33983470344,4.99438015688,410.734,0.047603305705
1995-10-18,3.73685949784,5.21652891684,409.195,0.0614876032022
1995-10-19,4.13355371205,4.89917354547,408.355,0.0753719006995
1995-10-20,3.48694214289,5.09157023936,406.675,0.0753719006995
1995-10-21,3.92132230745,5.10743800793,405.429,0.0595041321312
1995-10-22,3.26876032507,4.99239668581,403.63,0.0733884296285
1995-10-23,3.22909090365,5.07768594186,401.693,0.0872727271258
1995-10-24,4.28231404238,5.10743800793,400.793,0.0733884296285
1995-10-25,3.63966941536,5.43867767679,398.934,0.0595041321312
1995-10-26,3.1438016476,5.28198346218,396.745,0.049586776776
1995-10-27,3.11008263939,5.16099172685,394.625,0.0694214874864
1995-10-28,3.02082644119,5.29388428861,392.306,0.0456198346339
1995-10-29,3.81024792747,5.69454544496,390.346,0.0773553717706
1995-10-30,3.22314049044,4.67504131444,388.859,0.0357024792787
1995-10-31,2.92363635871,5.3216528836,386.426,0.0357024792787
1995-11-01,3.30842974649,5.28991734646,384.418,0.0277685949946
1995-11-02,2.78677685481,5.02214875187,382.148,0.0357024792787
1995-11-03,3.0684297469,5.03999999151,380.144,0.0317355371366
1995-11-04,3.20727272187,5.53983470141,377.76,0.0535537189181
1995-11-05,2.90776859014,5.44264461893,375.185,0.0396694214208
1995-11-06,2.68561983019,5.47438015607,372.351,0.0436363635629
1995-11-07,3.26280991186,6.22413222092,369.346,0.0436363635629
1995-11-08,3.22512396151,5.39900825537,367.125,0.047603305705
1995-11-09,3.22512396151,5.39900825537,367.125,0.0297520660656
1995-11-10,2.59041321878,4.7603305705,363.434,0.0257851239235
1995-11-11,1.77917355072,5.53785123034,359.624,0.051570247847
1995-11-12,2.82446280516,5.21851238791,357.196,0.0337190082077
1995-11-13,2.95933883799,5.53983470141,354.576,0.0376859503498
1995-11-14,2.80264462338,5.62115701533,351.72,0.0376859503498
1995-11-15,2.76495867303,4.50842974447,349.951,0.0257851239235
1995-11-16,2.71140495411,4.89520660333,347.74,0.0297520660656
1995-11-17,2.58049586342,5.36528924716,344.922,0.0337190082077
1995-11-18,2.09652892209,5.25024792504,341.736,0.0337190082077
1995-11-19,2.37223140096,5.2601652804,338.824,0.0238016528525
1995-11-20,2.47735536773,4.91305784297,336.355,0.0317355371366
1995-11-21,2.85024792908,5.58148759391,333.591,0.0317355371366
1995-11-22,1.74743801359,5.27999999111,330.054,0.00396694214208
1995-11-23,1.89421487284,5.1986776772,326.722,0.0277685949946
1995-11-24,1.83074379857,5.11338842114,323.408,0.0317355371366
1995-11-25,1.97355371568,5.28198346218,320.064,0.0357024792787
1995-11-26,2.13223140137,4.89917354547,317.268,0.0317355371366
1995-11-27,2.41983470667,4.99239668581,314.673,0.0238016528525
1995-11-28,2.63603305341,4.92495866939,312.321,0.0614876032022
1995-11-29,2.17388429386,5.28991734646,309.167,0.0376859503498
1995-11-30,2.36231404561,4.47074379412,307.019,0.0376859503498
