,inflow,outflow,storage,evap
1999-03-17,12.4145454336,7.48165287996,559.499,0.0277685949946
1999-03-18,12.1051239466,7.97553717665,563.579,0.051570247847
1999-03-19,13.7613222909,7.9656198213,569.296,0.0793388428416
1999-03-20,13.2654545231,8.403966928,574.11,0.0456198346339
1999-03-21,12.6565289043,7.95570246594,578.76,0.051570247847
1999-03-22,12.2399999794,8.040991722,582.926,0.0337190082077
1999-03-23,11.1808264275,8.01123965593,586.051,0.0456198346339
1999-03-24,12.2380165083,7.90809916024,590.329,0.051570247847
1999-03-25,12.4680991526,8.26710742409,594.53,0.0
1999-03-26,10.861487585,7.18016527716,598.136,0.0753719006995
1999-03-27,11.4446280799,8.21553717625,601.312,0.0535537189181
1999-03-28,12.2995041115,8.05884296164,605.466,0.0872727271258
1999-03-29,12.255867748,8.52099172119,609.113,0.0872727271258
1999-03-30,10.4350413047,8.05090907735,611.426,0.0714049585574
1999-03-31,11.9186776659,7.88231403631,615.443,0.0178512396394
1999-04-01,11.2938842785,8.17586775483,618.492,0.0714049585574
1999-04-02,10.4747107262,8.04297519307,620.823,0.101157024623
1999-04-03,9.83206609915,8.33851238265,622.168,0.148760330328
1999-04-04,8.46743800227,6.4720661048,624.062,0.101157024623
1999-04-05,11.5338842781,8.23537188696,627.224,0.136859503902
1999-04-06,11.3315702289,8.16991734161,630.386,0.0
1999-04-07,11.0122313864,7.95768593701,633.381,0.0595041321312
1999-04-08,11.4307437824,8.06280990378,636.749,0.0
1999-04-09,12.3034710537,8.00528924272,641.029,0.0178512396394
1999-04-10,11.8333884098,7.17024792181,645.615,0.0793388428416
1999-04-11,12.3927272519,7.88628097846,650.11,0.0119008264262
1999-04-12,13.3249586552,7.89223139167,655.469,0.0733884296285
1999-04-13,12.4542148551,8.54876031618,659.258,0.117024793191
1999-04-14,14.8859503882,8.54677684511,665.494,0.105123966765
1999-04-15,14.6975206364,8.27107436624,671.753,0.166611569967
1999-04-16,14.7847933635,9.55636362027,676.814,0.166611569967
1999-04-17,15.9054545187,9.13785122428,683.414,0.168595041038
1999-04-18,15.7368594776,9.14975205071,689.85,0.150743801399
1999-04-19,16.3914049311,9.12396692678,696.98,0.138842974973
1999-04-20,18.1705784818,9.02280990216,705.977,0.15272727247
1999-04-21,15.8261156758,9.06644626572,712.623,0.11504132212
1999-04-22,14.7590082396,8.83438015041,718.419,0.126942148547
1999-04-23,15.0426446028,8.99504130717,724.238,0.230082644241
1999-04-24,14.1639669183,9.3421487446,728.815,0.243966941738
1999-04-25,12.5335536979,9.62776857883,731.547,0.174545454252
1999-04-26,15.0069421235,9.66347105811,736.825,0.0654545453443
1999-04-27,15.6535536926,9.11404957143,743.306,0.0575206610602
1999-04-28,14.0866115465,9.11999998464,748.136,0.136859503902
1999-04-29,13.0909090689,8.92958676182,752.089,0.208264462459
1999-04-30,12.4740495658,8.8284297372,755.551,0.182479338536
1999-05-01,11.5418181624,9.58016527312,757.341,0.170578512109
1999-05-02,13.5847933656,9.84793386771,760.921,0.156694214612
1999-05-03,15.5285950152,9.52859502528,766.9,0.0198347107104
1999-05-04,13.402314027,9.06446279465,771.205,0.0337190082077
1999-05-05,12.4760330368,9.23305783569,774.308,0.138842974973
1999-05-06,11.3097520471,9.14181816642,776.318,0.158677685683
1999-05-07,13.7593388198,9.37388428174,780.551,0.15272727247
1999-05-08,15.1358677431,9.12396692678,786.403,0.158677685683
1999-05-09,13.2714049363,9.00892560466,790.46,0.206280991388
1999-05-10,14.35239667,8.78677684471,795.838,0.186446280678
1999-05-11,13.3606611345,8.87801651398,800.125,0.194380164962
1999-05-12,15.6277685687,8.87206610076,806.665,0.216198346743
1999-05-13,16.0046280722,8.85818180326,813.648,0.162644627825
1999-05-14,15.522644602,9.02280990216,819.938,0.21024793353
1999-05-15,13.0849586557,8.58247932439,824.277,0.162644627825
1999-05-16,12.8647933668,9.26280990176,827.696,0.184462809607
1999-05-17,13.4558677459,8.89983469576,832.06,0.19041322282
1999-05-18,14.4297520418,9.25487601747,837.052,0.184462809607
